item_description,item_id,restaurant_id,restaurant,classification,unit_price,address_city
VEGANO - Serve até 4 pessoas,0031e373c0fafaef8201d1953834173b065310ebff4b0c69960db0cf557d75f7,a7f384102c2870436753988526a3761ce1afd222e3eed6b88b04b79725b2900b,Al Nur - Zona Sul,COMBINADOS ÁRABES,97,PORTO ALEGRE
Vikings ,0031eb357cdb55e3e068bedad9248e9aaf6615ea8bd6d918f1d99932a0250c0d,c1da9245fcac68a36ad5dc975b5bbf3ab5f5f0d525ed83b5b1a6f155eac7b5ee,Pastelaria Fora De Série,Pastéis salgados (28 cm) ,10,RECIFE
Pão de queijo tradicional (unidade),00321ecb4a37fd6cd9c41a35ff56a29a170f167b21e22b4a0d5ad2c3ebe97281,f4e12736bf16deea8b40938e4f3c2d86c81ec9b71fe7b8b500613aa6c85b94c4,Casa Do Pão De Queijo,Pão de queijo,5.9,SAO PAULO
109 - Combinado Mega Boat (51 unidades),00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,527710b0c6f3db10a1e91644b5f03e5973a4933fca416e94a6979c60918d2651,O Temaki,Combinados,140.25,SAO PAULO
132 - strogonoff de frango,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,64aa26624ffa5949a1158045948fe3bd3b7601a942b4ba93f99d47b099c5692e,Pizzaria Passira - Campo Grande,Executivo para 1 pessoa,24.9,RECIFE
1753 - salada de salmão,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,b89c5bfd4e856b5dc1512dd90ef10c102364d457dd65ca5109dd404d4d3387fb,Coco Bambu - Market Place,Saladas,63,SAO PAULO
91. ninho de pistache,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,b55b70b54739bf71b62159c57f70b4f2041c4657d8e27313446541673d4502da,Al Mahachi-tatuape,Sobremesas,7.7,SAO PAULO
Batata Smille (6 unid),00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,07738bf93d8679e56d5aade30b2859f5258961722563dc5f307dc6e7db062f57,Pizza Hut - Center Norte,Entradas,12.9,SAO PAULO
Batata suíça portuguesa i,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,18d80a15b84f8a6c4b806b42906439d2dda0ff718ea175df523c508978c4aec2,Na Mira Batataria,Batata suíça,26,SAO PAULO
Batata suíça portuguesa i,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,18d80a15b84f8a6c4b806b42906439d2dda0ff718ea175df523c508978c4aec2,Na Mira Batataria,Batata suíça,25,SAO PAULO
Beirute tradicional,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,2f440a34170b886002d68daf37d88b861eb4107b29ede44051883697b04f30f9,Snack Point Burger - Vila Leopoldina,Beirutes,35.9,SAO PAULO
Cervejas lata AMSTEL,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,4289c90e7db8057a94c22915b051bc010e5e1b0fda5b5931ac83e9859be4f361,Cachorro Do Rosário - By Deliverycenter,Bebidas,5.5,PORTO ALEGRE
Cheeseburguer da casa,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,f856f9a8c7137e1c676454019f6a2039687f352329a16456b6669b8c133d7dca,Cavanhas Barão Do Amazonas,Cheeseburguers (prensados),22,PORTO ALEGRE
Creme de limão,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,e6702ccdd5781c8b65e391511fd1590e41dff4c4ff3110952425a2adcf9f6200,Pizzeria Sozza,Sobremesas,7.9,SAO PAULO
Dois queijos,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,139c99a20fe2d8b1b8cb6d2a706082aa554953eeab4639f98f07e60b8176aa25,Ghiotto Pizzas,Esfihas salgadas,4.3,SAO PAULO
Esfiha fechada frango com mussarela,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,749acff61a77772e7b154493f0f324cf08df6d1673bda4591be595014a656982,Esfiharia Aladim,Esfihas fechadas,8.8,SAO PAULO
Frango à kiev,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,c24ff6f98fb308dfb7fdbedb18ccbd186eca6e755006354c422abe79f6e0e8d0,Bonaparte - Shopping Tacaruna,Promoções.,24.9,RECIFE
Mussarela,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,16417cc6c746f8b3f9fa7304c5665c923b75f0e74b5bb6b0b59fa23e59c53df6,Domino's Pizza - Chácara Flora,Extra para pizza,3.9,SAO PAULO
Pana integral queijo,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,c81ac14267e0b09299fbba45182ce5e4f3c143717336b61b81a52ba6a0629f13,Panas - Gastronomia Argentina,Empanadas integrais,8,PORTO ALEGRE
Pastel 5 Queijos,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,81619b01385eed4b82580fc18a84b1373345617b175e6552b19e4572048cf531,Amo Pastel Itaquera,Pastéis salgados (18x10cm),12.5,SAO PAULO
Pastel de frango c/ cheddar,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,34aba611d370cd2ffa722274efd2ffb48ab455324cd5e737b0fc62979e812c90,Karnak Esfiharia - Aeroporto,Pastéis salgados,9.3,SAO PAULO
Risoto de camarão ao provençal,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,05fd5c54dec37bfaf79b00213a0a7a00ce3934ecaa2de6b14bda6558f37606a8,Vivenda Do Camarao Santana,Risotos,29.5,SAO PAULO
Risoto di mare,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,37973fb51a9345d637122fbd97c3033afd9c4a62a35d2521ca24bca8a029e815,Vivenda Do Camarão - Plaza Sul,Risotos,30.9,SAO PAULO
Risoto di mare,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,fbfa25da09a9642a03ac3af7ff9d32da06ac3246b24b90bbb3f351d238cb9e4a,Vivenda Do Camarao Higienópolis,Risotos,30.9,SAO PAULO
Risoto di mare,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,01ec99557bb3c8cf0c51e6e75d1b61c0ca539abb3c5a0857c1b119eeceb96279,Vivenda Do Camarão Tietê Plaza,Risotos,30.9,SAO PAULO
Suco lata,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,9c629130e6038411bf833209e868b11dfbd11a262d1656d75150d30671040ed3,Predilleto Restaurante,Bebidas,5,SAO PAULO
Sukiyaki domburi,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,af9571c9ece87eb016aeb536647957d10d09ef8acaafca0b99fe2ebdc515bb2b,Gendai - Center 3,Pratos Quentes,32.3,SAO PAULO
TRIO KAZAN  ESCOLHA ATE 3 MINI TEMAKIS,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,e0b0686a25195f8ed8a56805c41e97515d30de6afd5fe8eb99bbb61133da0c45,Kazan Sushi Premium,TEMAKIS PREMIUM,44.9,SAO PAULO
Tradicional cheese churrasco,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,647221951ca6a3f82fd991719049d992a888f4713076f58dac738eb195f35ccd,Red Steak & Burger,Sanduíches ,29.9,SAO PAULO
X strogonoff de carne,00328ce57bbc14b33bd6695bc8eb32cdf2fb5f3a7d89ec14a42825e15d39df60,70d5d1d729b641557b14f1f04c96b7f67a50a28bba5ba93c1914a796b8825da7,Claudio Lanches,Lanches,21,PORTO ALEGRE
Carne de panela,003291b41e59268360d5f5780f682aa35e4d0a77e9e506b31e4aef926473b3aa,99b47e79da375e0b892f7001dc7e998629dd1baa02f086c297a3bb10a19113b7,Marmitas Qualy Sabor,Pratos diários ( serve uma pessoa),17.5,SAO PAULO
Sunomono de Kani,003295a682a4c64614a8d3eaa4712914679a61458394eabb6127d15aff17125c,4f8eccefdb7ad6951a6b659fb196c69d6b2efd237c1f2c1b7b561a479d06af84,Kisu,Entradas,33,RECIFE
Joelho de porco,0032b9382f603c74c9e0b14092d3923a08aba30ed39af4c3cd5c2e682fe8c4ef,44c8b8560971bd1b50a371165be232fc3a24522287bb75954db680a92591bd62,Bar Do Thiago,Porcões,69.8,SAO PAULO
BATATA FRITA CORTE ARTESANAL,0032e462365dd67aed88f5ce0acb60f66ee1fd1e2a8b5a5e7c20613bf50a8a3c,107d372c532a678256cb033c6c662f1ac79de5e6073bcead018aaa145acd675b,Açaí Magnífico Premium Foods,Porções,10,SAO PAULO
LATA - Fanta Uva 350ml,003307f79789daafe09423d34067884acd46d1d279146eaad9f87930da86958c,c7bfcffd562a7928655ac71b10d93adbc35cafb59450d7b0107e9bb64b7ea16a,Llola Pasta,Bebidas ,4.9,SAO PAULO
Combo 3,00333f3f4bce4e037d416b204bc4fb50207e0a04fbf381f5539492dd720e1f3f,cab08183d3ed7072b59a239db60e84706b8df3c96b561a3023282efe0b14d0e8,Pizzaria Tentação,Combos,30,SAO PAULO
Tapioca de frango com queijo cremoso,00335af7887f7b51e5d0af941b215a353636be8fd5eb41cb9af92aa77db562c6,c6c9a4673b1e97bbc04a6892f69e9a0193b214219f70ef54408fed16c578c13e,Mr. Green Good Food,Tapiocas,14.2,RECIFE
McOferta Média Big Mac + 10 Chicken McNuggets 10 unidades + Molho - Promocional,0033716f668b05547d4f33814834b0fadad642806c47a1a4cdffb05da752275e,c817f7f0e23f1b00005e51b5a3136aee4682a37fdadf605f1a2396fd0f26c6f3,Mcdonald's - Pinheiros,Fominha de Mc + Coca,26.4,SAO PAULO
104004 - sashimi atum - 5 unidades,003410f61ece7ece184b11c6656e5fb24a99d26a7f2fd053c3aeedefadf06ffb,5fd349062ed63a6d9fd58a51feb0f83ba10abbbccd89fb633ade552f3300e858,Sushichic - Zona Sul,Sashimi,29,SAO PAULO
Refrigerante 1 litro,003433727b0f1d3149cd0f0d3e2d98c95de57876d286a2fd7e3e3b8dc7f72f04,17cbf35dd1f06d77244fb726ceab701fdbb77376d6ad75704ad11edf73db4226,Nippon,Bebidas ,7,RECIFE
Talharim ao sugo a bolognesa . (individual),0034babe26f313957c2b6a53595c0bab69ffff607bc37286a21baef640bcba06,b9ae38cc4e6158576f9d5c9109827b525be5f328a3eeaa3947f37c79c22f6226,Restaurante Molise,Promoção do Dia,17.9,SAO PAULO
Pote de Bolo de Paçoquita com Doce de Leite,0034bb8aeb7f762e7608773a226abc5a53ed84c6758479a73f13def14357c5cf,efd8e3b87a99f7069bd9086e1102c1cd2fae1ff6f6332bec9a986664fd87dd29,Caminho Doce Bolos Caseiros,Bolo no Pote 150ml,6,SAO PAULO
Del Valle ,0034c004fa744e0facc367ee0974ba2ba036e03b7ab0212b1c872f549e83238e,9156aa48f1a161dd20e5c59383141b4f07115421a9b044d586ac1bc6243f4eda,Restaurante Comidas Caseiras,Bebidas,4,SAO PAULO
Frango com Batata Doce,0034e398d6ae8dd05073328f2fbee46ad78adbbb50cd8e740b59934e5217e70e,a9ff05dedaa7cd1b1088593a9c1e9a09c3474d502effcda73d0b951225fbd286,Bistrot Fitness,Refeições Balanceadas,23.9,SAO PAULO
Combo Mega Bacon (Batata Grande 120g + Refrigerante Lata),0034fb6a72d0c55e52bb5d19de716a2b86cb9de3a04455af774c42a0f294f738,8e6fcf42e866ea319f0cd2a17427c178d18437cdf61fa5f9259ab0d8fed0d62e,Habib's - Tucuruvi,Promoções Especiais,24.9,SAO PAULO
Combinado sushi iii,0035ab0ec7f8fb89343474291f7fc97a20fa9b59c2d369d571113f13f5cdfeff,f77b20e747b3902d649786123e61dfc6ddfb7093076c081f2c1b78de86464784,Hakone,Combinados,34.9,RECIFE
Massa + molho + entrecot grelhado,00364b999df3acf651a18dff9623d750b566a5e412c34ec4ee222d54d7766bc8,6216f2601f34d4d6a2691dc72fc9050bca26dad1ce5aec14d86be5c234c2ea90,Marzana Bistrô - Santana,Massas,27.9,PORTO ALEGRE
Filé de Frango à Milanesa,003659c57978279b82b79cc8130534d421fb69fb50ac509337171b8ab720972f,177695b653b2f7f2f2135fcff31732c5442961f33eaa834e13e810dfffdbad40,Varandas Churrascaria E Pizzaria,Refeições Variadas,18.99,SAO PAULO
X-egg,00374009d11f6302e01d51b8de697af63bfac5f03e4107ee626d19fefa321083,a8e6949c34ee6ad391e9584deb7c49fbc7a897874562766e4858d87cc66d3723,Mix Lanches,Lanches artesanais,14.5,SAO PAULO
Promoção - QUINTA E SEXTA- Pizza Portuguesa,003799717e6be4c894cdcbf9c154fc8b1d55ad08df6648c54b3fa12b49773ac6,e4a4510c2a3791c68a21fb43806481d38464a50973657fb5ff670c78a792e8a4,Pizzaria Atlântico - Paissandu,Promoção Quinta e Sexta,60.9,RECIFE
710 – Gold burguer + fritas + refrigerante lata,0037ce69de1ded5297b1466f068c207c735b4a39c598ab5b7a0c045d6a88da71,229b25bc1bc199981de572cf8e9cf2ff59e77b4894f25473b95cf673c4cd1cc6,Elf Bar E Burger,Combos lanches,43.5,SAO PAULO
Batata Cheddar e Bacon,0037ce69de1ded5297b1466f068c207c735b4a39c598ab5b7a0c045d6a88da71,30f32bbd68bede8db9c0db6fbb2c77eddd345ad8aed2cccb953bef20270faab9,Habib's - Lins De Vasconcelos,Esfihas e Salgados,9.9,SAO PAULO
File de frango a Parmegiana arroz e fritas + Refrigerante lata + Açaí 100ml,0037de7face376b6420452fbdc2ffe636cad88c7779fdc522244e3fed1a3a64d,b0b56114d20dc3a7e61e71f69646e3282d675859d8976c7b51a1db7a2fb2f66e,Gelateria E Restaurante Mooca,Promoção,33.9,SAO PAULO
Batata Rústica Cheddar Bacon,0037ff0d15898cd0e375f10d49330a9ae393883e7e9928ba96c60ea1775bc6c5,a3442f54e2e4534a71f9f23bc7c0d24429ac6c9d68e510d161d5afc65450d1c9,Mcdonald's - Abraao De Moraes,Acompanhamentos,10.9,SAO PAULO
Felline,00387a52f7b7c18517fb7f18b1da92955a90ce8438c188f32a4104203b4c9a7f,b207ae17e5d0a1cd2bb19e1cc1ae1ec99624d14b95e188e861fa7b11968549b7,Quanto Prima - Recife,Filé mignon,36,RECIFE
Ruffles,0038d86077d63d1edd6c7da5563e206dbbbf56326ed21468300c7d9bc9b900db,4840b44b059f3ce0be006ec8f2330cbfb707b65744b668b5526bd36b1ba1e373,Subway - Ragueb,Salgadinhos,5,SAO PAULO
Tapioca Frango com Cream Cheese,00393e290f6961374bab565e5868dd82c2414cd9473771622e71f88241a3b42d,af1b8433d5ace0497bc1a78e7383ff0ad01733bd0badf46a8743b47de11a969b,Fitioca - Comida Saudável,Tapioca Promoção,15.3,SAO PAULO
03- Filé de Frango grelhado,0039bb2c59d88a72cf6f548e19b0f98a167e796b1c79dd8bb6169cdb827340d9,7c93b29306b67fdc47b32086bfa4cbda66a82b48bd2deabcec820409ca543e97,Frango Frito - Autodromo,Pratos executivos,12.5,SAO PAULO
Caesar,0039cbe0851261542c505fb45d25dbdc0ebb927746d1ee78138de0ab58e70cf4,2c4c1a43d25a8a837ade17e4cda76d49b39871139b549d3fe51b23b980fdccab,Markt Bbq,Saladas,18.9,PORTO ALEGRE
kit 6,0039d7a4ccb9d84847889b1b35f8041139f00ae3cb6839c44a50ca11ddce7bbd,cc73a560fa887ecff6a2c04e032e3860e2949e3c084009c45720d4ede5845e58,Porto Bier,Bebidas,25,PORTO ALEGRE
Açaí M (400g),003a777ab35d1f0d925350d20f8ca9d765e5f84c22b2718b93fa6b9c6e35e86a,e55a9c7b52cd2446c0e5238ff8ae2606e01c5154450659e02ad84bb77405d2bb,Ice By Nice,Açaí,22.5,SAO PAULO
Frango ao creme de palmito c/ hambúrguer de espinafre,003ab5863c9574013eee422bd4adae351062cc1795d1bc1a8b9d5f7bf55e1e87,afbc938ce3e916a61d6e1c75f16cb4467d0afb31edfeaef25c8b77048f49c6fd,Dr. Healthy Alimentação Saudável,LINHA GOURMET - Marmitinha 300grs,28.9,SAO PAULO
Frango ao creme de palmito c/ hambúrguer de espinafre,003ab5863c9574013eee422bd4adae351062cc1795d1bc1a8b9d5f7bf55e1e87,afbc938ce3e916a61d6e1c75f16cb4467d0afb31edfeaef25c8b77048f49c6fd,Dr. Healthy Alimentação Saudável,LINHA GOURMET - Marmitinha 300grs,27.9,SAO PAULO
"Temaki california (kani, pepino e manga)",003ad2338dd07261c8eec21a193cce2c2a2901314b16b3e7c1d1d4f8b53374bb,fc0b00ace0bd72dfff55327fdc875376e8ddce6b4d7edbb90c2fcaacbf015f72,Tok Tok China Temakeria,Temaki,15.9,SAO PAULO
Palmito c/ queijo,003af81d6cfc9ccaab04b413204099d583242e21a3c166d372f11be40f4cdee0,0f0e7680cd0d4d33327f41173e839bfccbb5b57ffab976ed3183d420c36b2209,Pizzaria Boa Noite,Esfihas,4,SAO PAULO
Poke Meji,003b8aba636c67537e1d991771d2b9a79e55d051d83d1aa5e84ec86ed02add44,aeb25dcd79f80779cdbb9adf7c808d65e5e897100a12f63ead9770b8e3b3b126,Poke Poke Plaza Mooca,Pokes,30,SAO PAULO
Torta Mousse de Limão,003ba78076229e14fdfbb8f77b91707f8e8c0a0db0d779cf008f122c6ca956c1,ce086f89f10ca7638e1dd03fb9781e5be630c98567b08dd341677b2bd4ffc8bc,Amor Aos Pedaços - Santana,TORTAS E PAVÊS EM FATIA,13.9,SAO PAULO
Bolo no Pote de Beijinho com Ganache,003bab271057e50704fce9ceca0cd8d3398a2a3f52d882308aa1352df9e31779,ccb49bd6a215418fd0e2d76f5207c6c55d29206ab13a6e99c3b87d8bc279b1a4,Doce Entrega,Bolos no Pote,10.5,SAO PAULO
SUCO NATURAL DE LIMÃO 500 ml,003bb1dc05cbf76c5907edcfbb8b49e5b51a803492484c61d07ca20db53ece9f,8bb73f123fc3988dd3d657a31c184871ecf709b75ffa8f80c0e681800538543c,Hakay Sushi,BEBIDAS NÃO ALCOÓLICAS ,7.6,SAO PAULO
Mini Bolo de Prestigio  250 gr,003bcd571b212bbed7c154851eaabcc67bbade7965c2607c0e3787862a11b9cb,3552b33f0a9f9d13d5b65c0326ff9a53ad533aa8924df5cd9557976dca8f23db,Casa De Bolo E Cafeteria Aclimação,Mini Bolos Recheados,15,SAO PAULO
Polar latão,003bd112ebc0dd567de489788ca876133b569b28c69c5940ccc4e3aab264900f,46f09fa6310d4ea2c0535d9b8bb03b8accbf7ab0d5d35c822ed3fd15ebdfa258,Xis Ponto Cem Lanches Rápidos,Bebidas,6,PORTO ALEGRE
Suco Energético de Açaí,003bf0ec4ad9e0ab8e6ebb8d7524b0c645946ec499b7ba94ccc8359ef4a96a7c,b720e53e64bb37ecc3645eccb7f48204ec8108c66f97a22b55b43f1ef27919e1,Hamburgueria Dog & Açai,AÇAÍ,15,SAO PAULO
Guioza shimeji 4 unid,003bf3fe8f844e632a627e177ecd81afe066b1b33cc56cb5c879b3af0551cf9d,96e90756227001f9e656e58a787e621647c947841de28a5c56e186b5f515f71a,Nagarê Sushi,Guiozas,22.9,SAO PAULO
9 - Carne com cebola + 1 Refrigerante em Lata + 1 Rolinho Primavera  PARA 1 PESSOA,003c1cc9f4e1e29eb23b3d5ec38f0527e97122b8bfee97edf6d756e4172863e7,ff00bd314158d5c9f1eec0960c6a5ea94478b1e09e74ffe5e0ee91de6d75018b,Especial Da China - Saúde,Combinados,23.9,SAO PAULO
talharine com molho rose,003c4fb662d4a8b00eca01327f80d2da5bfb4c923c8a693025e2343fbd34414a,fc18a228850dcaf2caed6daeb2a357bc330cb84e0174e20d65179b03df6b2cc3,Fafadeli Rotisserie,Massas,35.9,SAO PAULO
X SALADA,003c79eb2e57f15236557d9ca840df735c7f9f7c70163dee6d7b1713fe506b40,49877c469da2472e4c49cedd3d12984223af7ae284bd12e508ad272706a24e1e,Skull Burger Artesanal,>>LANCHES TRADICIONAIS<<,13.99,SAO PAULO
7 - Beach Burguer,003cc3f9d48635cf3f99a44a7380ada14112ccbdabcb3466704e71f7091136c6,59b990c24c94b0720895ef0547bd4b059f51c48dde02079b221651e28f092e25,Burgup! Hamburgueria,Lanches Gourmet,26,SAO PAULO
Esfiha queijo com alho,003cec87b76ba90bd55f67acb14b0949f389417d9e0f771274bb833590215931,5b5e18bbc6ac411a194b3678d6da26420d21d9a8600e41db5612e318a3170518,Pizzaria E Chopperia Nova Colonial,Esfihas salgadas abertas,4,SAO PAULO
Carne acebolada + Rolinho,003d56b3aa7c3df58635d978094c4c65772ad4b35a46e73543743038c6898fea,7fddfdc7e6a74beafb59d0c180d1ffd47bb6c00e8f73a5abb09afd7265f92dae,Lig-lig - Vila Prudente,"Almoço por até R$ 22,90",21.9,SAO PAULO
16 - Calzone calabresa II com mussarela,003df0abe7d707187b9e039775d26ab655014a0738ac891939a06604f74ae4cf,957e8784bde08fe571d59754a90c786a19104b927b229381f4f6ad0e75a7b44d,Bela Lagunna,Calzones salgados,34.9,SAO PAULO
PANQUECA DE FRANGO,003eb337b317e089ba166912227f601e2e123b2c0eca19dd32e5fefa1e547614,8c75e4f8f3582f8423d5b64a02b8d75ee587e31f4d72a0ce10a22ea79d17268d,Bela Comida,REFEIÇÃO,29.9,SAO PAULO
Mignon bacon,003ecddb0984b0251fbb2ac1a26fb4eb659763e61b15a1f585ce58b76c35da42,4d3a2b5e413a4e7abba3c6a1b2b89bf8d80c9aa07a08b455b9ab87ce26c78ee8,Binho Lanches Delivery - Ipiranga,Mignon,26.9,SAO PAULO
Bauru,003f8c5c01b22a02a4924752d7523bea04edac2fa06375e72db641b359ec36ed,1ab4db15e6fa55e683915aafe610af7f56bc9e98260f706d484bb1f4a490ea6d,Espetinhos Leo Bar O Original,Lanches,7,SAO PAULO
*** bife milanesa ***,003fc5773950e2f51a7973c6fac4124b1ee8a8538589121d9557ded8333870e6,ab0ce7c345f7717f379c2080f8c3af975f0eeb7098f3f66b58acb63760a6ca37,Gouveia Restaurante,"Almoço por até R$ 22,90",19,SAO PAULO
Caipira com catupiry - porção individual - crek day,003fc7ac24f4f09f2fe3d24f6188714b4fcef9d9bb2af47f89e55a594728e22f,27a91d98056f337aca78a0715e578195238896a10a6f6e72d5c15d41d445caa6,Pizza Crek - Granja Julieta,As mais pedidas,7.9,SAO PAULO
X frango com bacon,003fd89fe1db29355bdd507839f03dcabc86acdcc7fcec856ea2b59e181de502,bdce9b8bef29abca311c8304f46f03ed8e3455af4de96223738c500e98000f15,Feiticeiro Lanches,Xis tradicionais,21,PORTO ALEGRE
Triplo X-Salada (Combo),00406240d791df1e76629bf8ec1bfd9c94a2149f5ede3afd0d9bc21cfb937c13,828d97f7f6e7998971f84abf5ca677d73862f27d13782443175d8dddd7f2999b,Giraffas - Tucuruvi,DO TAMANHO DA SUA FOME,12,SAO PAULO
Zurek,00408a2fb9eecd7902d76faef702889f3f998610136b952fc264888b89638cdc,cf35c36a3b6a54a16475cb7e7d5386a5acfe25034463d6a352c200901eea0c73,Maria Escaleira,Comidinhas,22,SAO PAULO
Seninha especial pequeno,00413aeaffbabb859c9d466777bec6e1069a4439c11556ce347e65e6ad82714d,e29df1b03b606b3a1748af7f918e99a121f68228d8477445c87629a6b9b47cf5,Sushi Seninha,Combinados sushi e sashimi,53,PORTO ALEGRE
Arroz de forno ,004164dded225ed190b7d4cf14a599594b212d1e1a2c44d4aa5cceab837638c5,ee2b233515de413bbb4d57dee2a3fb1625a0fc57b2005357b95da1d027e2e2c4,Santa Marmita,Prato do dia ,20.9,SAO PAULO
Refrigerante 2 Lt - Coca Cola,0042d956de96e1c9cb81c325c0a196cf8589a5031f0c0877d0aa2c42486d446c,10129f9c3266b24a07a5efb6f9dfd317e0b68cb34680bb38ff2649d5b692b106,Xis Do Bruxo - O Original,Bebidas,10.45,PORTO ALEGRE
Queijo coalho á nordestina,004302d3ae1bc13aa8dea1f5a6a605154c5c048ae1acd3b5c421ccfd5be5678c,5bab03fb9a2515766511fa5b0aa81a334be89a403916154f60e52b090cc205d8,Sabor Do Rancho Churrascaria,Pratos,14.6,RECIFE
Coca-Cola Zero,0043579dcd2700f4e054b1fd75a47b3e26d98981987c9543c6876a2660b575eb,c208255f84a9014e5663ab417b67a248ab89df57e3170dc2473fc935ece9f793,Deli Food,Bebidas,4,SAO PAULO
604- Mochi boat 1 (2 a 3 pessoas),0043e358859b9d965be6e4e3be5eb8b0326d4faca687d630ee9bee4402db2370,56c4f66bcfca70d0071ea2b5c77e00ba1d8c660416efe7746fbbbe880e86779e,Mochi Sushi&temakeria,Combinados,54.9,SAO PAULO
604- Mochi boat 1 (2 a 3 pessoas),0043e358859b9d965be6e4e3be5eb8b0326d4faca687d630ee9bee4402db2370,56c4f66bcfca70d0071ea2b5c77e00ba1d8c660416efe7746fbbbe880e86779e,Mochi Sushi&temakeria,Combinados,51.9,SAO PAULO
39 - coxinha,0044d5e5270733ffbefd3d6ef90af8662c31f0f0b4c277acc7aa41a9cf2985ce,140c9efebc7c28cd186a34b3eed1fd67432f3ce8a475bafa3ba3d809b23fe8f1,Sp Burguer,Diversos,4,RECIFE
Parmegiana Clássico ,0044e64250457184113f36f58597edf7b8a45ba5ddb445fc9ed67f0b645981f0,0a179f19a747a613b14ebaf8046042f3e4bf2b7deb7d19dbd82d925f50d37629,Parme Lovers,Especialidades,34.9,SAO PAULO
520 - suco Del Valle lata,004515c56a73ec8dfa7d0d3e5df079b236e6d34f7ac92e442b194f0062833e98,3bd0663153a65297dd82bf5a26f6aa1a8a734409118b5782533bf734621ec867,Restaurante E Pizzaria Encontro De Minas,Bebidas,5,SAO PAULO
Combinado salmão 3 pessoas- 45 unids,00457cab98a432b937854b31874b94151c7f2dacf26a2868df379dcbc684c6df,e3c897b039d53199ffb6362409fd151ac6afc20f578268a5656b628415e306b2,Kizushi,Combinado,125,SAO PAULO
Gnocchi alla sorrentina,0045a465cef9b2b1a1178a9cfa3f30e571222ce2ea241b34e4fd13b4f69f2aa1,07c17419ba3c7d3ea53aa7f1f9787808a403d1982c018d55d28bfabddcb03f32,Antica Roma Ii,As massas,40,RECIFE
Subway empanado de frango,00470ee28602b8b6a7e0a98aac27152a2df57ed0693b1db0079e140356566c02,35badc20198f0a650f6b0c4b35a13009c3debfdfece92d287ee24cf0f9cc5d42,Subway - Sapopemba,Pão de 30cm,26.4,SAO PAULO
Coxa com sobrecoxa assada sem osso,0047662dd7323557e03b29849b646fcbcfd904e499f18983d3a14f81c2f01b24,b576e09bf9df1f00e2125606a72ca8b4effcd40825224f7b216917b99d8923f8,Rsm Rotisserie,Refeições gourmet,23.8,SAO PAULO
Pizza média 30cm,0047b210ac11b6dc534cb9ec974241844baa24b5be60f813df88bfac6b33b748,d8f9938d7b907d7993e9e714a9140262f03ed6a4d20f3f7828bcd46e65ef14b4,Oficina Pizza E Lanches,Promoção,40,PORTO ALEGRE
Filé com shimeji e shitake,0047b625bf264b74621ebb342cecd195bb334f20cd27d47cef2efdf7c645d3c8,a4e6127af8fff8ac7717250b9b87547774edcbf9acbaee8dd56af895455886e7,Moussecake Tiete Plaza Shopping,Carnes.,77.9,SAO PAULO
